model,psnr,cossim
uni_v1,45dB,0.6502009
uni_v1,45dB,0.6321789
uni_v1,45dB,0.27893
uni_v1,45dB,0.5899225
uni_v1,45dB,0.28069115
uni_v1,45dB,0.5025239
uni_v1,45dB,0.52737623
uni_v1,45dB,0.76398575
uni_v1,45dB,0.7321436
uni_v1,45dB,0.6278535
uni_v1,45dB,0.4995812
uni_v1,45dB,0.31774765
uni_v1,45dB,0.7863931
uni_v1,45dB,0.45041552
uni_v1,45dB,0.5802172
uni_v1,45dB,0.42223606
uni_v1,45dB,0.5299658
uni_v1,45dB,0.35940793
uni_v1,45dB,0.47006163
uni_v1,45dB,0.5615162
uni_v1,45dB,0.19136193
uni_v1,45dB,0.31677216
uni_v1,45dB,0.47000232
uni_v1,45dB,0.38585788
uni_v1,45dB,0.43971255
uni_v1,45dB,0.30604076
uni_v1,45dB,0.46496698
uni_v1,45dB,0.48238316
uni_v1,45dB,0.3556777
uni_v1,45dB,0.43049914
uni_v1,45dB,0.3827933
uni_v1,45dB,0.5941586
uni_v1,45dB,0.51802385
uni_v1,45dB,0.35231736
uni_v1,45dB,0.453033
uni_v1,45dB,0.43207043
uni_v1,45dB,0.47223854
uni_v1,45dB,0.63202435
uni_v1,45dB,0.5069195
uni_v1,45dB,0.3314258
uni_v1,45dB,0.65914536
uni_v1,45dB,0.3055652
uni_v1,45dB,0.5692562
uni_v1,45dB,0.4987749
uni_v1,45dB,0.5162628
uni_v1,45dB,0.39139593
uni_v1,45dB,0.17416789
uni_v1,45dB,0.51882505
uni_v1,45dB,0.576291
uni_v1,45dB,0.4601806
uni_v1,45dB,0.57500935
uni_v1,45dB,0.5831389
uni_v1,45dB,0.3003053
uni_v1,45dB,0.61983573
uni_v1,45dB,0.59196734
uni_v1,45dB,0.4293611
uni_v1,45dB,0.4833114
uni_v1,45dB,0.6361614
uni_v1,45dB,0.39390087
uni_v1,45dB,0.34150776
uni_v1,45dB,0.24514389
uni_v1,45dB,0.5323455
uni_v1,45dB,0.62757814
uni_v1,45dB,0.6487214
uni_v1,45dB,0.49524206
uni_v1,45dB,0.4266101
uni_v1,45dB,0.68200624
uni_v1,45dB,0.4637165
uni_v1,45dB,0.43559238
uni_v1,45dB,0.4910623
uni_v1,45dB,0.60328203
uni_v1,45dB,0.49182785
uni_v1,45dB,0.25618625
uni_v1,45dB,0.55864257
uni_v1,45dB,0.5976104
uni_v1,45dB,0.6646831
uni_v1,45dB,0.6372906
uni_v1,45dB,0.58806974
uni_v1,45dB,0.4695881
uni_v1,45dB,0.36120042
uni_v1,45dB,0.42947304
uni_v1,45dB,0.5118229
uni_v1,45dB,0.4686467
uni_v1,45dB,0.45617107
uni_v1,45dB,0.53278196
uni_v1,45dB,0.33632353
uni_v1,45dB,0.29011166
uni_v1,45dB,0.39809197
uni_v1,45dB,0.3823862
uni_v1,45dB,0.6117216
uni_v1,45dB,0.47127444
uni_v1,45dB,0.50566083
uni_v1,45dB,0.45935977
uni_v1,45dB,0.7295
uni_v1,45dB,0.7250782
uni_v1,45dB,0.54134434
uni_v1,45dB,0.45813856
uni_v1,45dB,0.5827369
uni_v1,45dB,0.5030066
uni_v1,45dB,0.4290589
uni_v1,45dB,0.42316854
uni_v1,45dB,0.5454491
uni_v1,45dB,0.5349795
uni_v1,45dB,0.44007152
uni_v1,45dB,0.7271872
uni_v1,45dB,0.4638433
uni_v1,45dB,0.33542895
uni_v1,45dB,0.47858965
uni_v1,45dB,0.34462732
uni_v1,45dB,0.55913746
uni_v1,45dB,0.38798398
uni_v1,45dB,0.35232398
uni_v1,45dB,0.49678805
uni_v1,45dB,0.7109714
uni_v1,45dB,0.58282155
uni_v1,45dB,0.43644243
uni_v1,45dB,0.2608923
uni_v1,45dB,0.5874537
uni_v1,45dB,0.42852253
uni_v1,45dB,0.40011418
uni_v1,45dB,0.57470924
uni_v1,45dB,0.3187673
uni_v1,45dB,0.16009046
uni_v1,45dB,0.5339294
uni_v1,45dB,0.60053766
uni_v1,45dB,0.43303916
uni_v1,45dB,0.56315094
uni_v1,45dB,0.32006618
uni_v1,45dB,0.50507635
uni_v1,45dB,0.2962143
uni_v1,45dB,0.5614571
uni_v1,45dB,0.3427196
uni_v1,45dB,0.42384145
uni_v1,45dB,0.59736717
uni_v1,45dB,0.45367843
uni_v1,45dB,0.40126097
uni_v1,45dB,0.60998
uni_v1,45dB,0.40353107
uni_v1,45dB,0.4379119
uni_v1,45dB,0.62691873
uni_v1,45dB,0.5540014
uni_v1,45dB,0.36393383
uni_v1,45dB,0.4997434
uni_v1,45dB,0.5500403
uni_v1,45dB,0.2692008
uni_v1,45dB,0.29787835
uni_v1,45dB,0.28747416
uni_v1,45dB,0.50882554
uni_v1,45dB,0.33583912
uni_v1,45dB,0.29152924
uni_v1,45dB,0.38606465
uni_v1,45dB,0.5667379
uni_v1,45dB,0.5938838
uni_v1,45dB,0.607648
uni_v1,45dB,0.38200566
uni_v1,45dB,0.3412882
uni_v1,45dB,0.5949394
uni_v1,45dB,0.4608516
uni_v1,45dB,0.5051011
uni_v1,45dB,0.43886116
uni_v1,45dB,0.374341
uni_v1,45dB,0.48009965
uni_v1,45dB,0.43583974
uni_v1,45dB,0.5206075
uni_v1,45dB,0.34887123
uni_v1,45dB,0.59563285
uni_v1,45dB,0.7255382
uni_v1,45dB,0.3072262
uni_v1,45dB,0.4999961
uni_v1,45dB,0.35295606
uni_v1,45dB,0.46784988
uni_v1,45dB,0.543254
uni_v1,45dB,0.47586066
uni_v1,45dB,0.3725536
uni_v1,45dB,0.5161305
uni_v1,45dB,0.35787243
uni_v1,45dB,0.37691775
uni_v1,45dB,0.5788001
uni_v1,45dB,0.40541744
uni_v1,45dB,0.44782338
uni_v1,45dB,0.47813296
uni_v1,45dB,0.64946735
uni_v1,45dB,0.3963841
uni_v1,45dB,0.3798299
uni_v1,45dB,0.36741647
uni_v1,45dB,0.66227126
uni_v1,45dB,0.4271313
uni_v1,45dB,0.44843817
uni_v1,45dB,0.37895772
uni_v1,45dB,0.65410817
uni_v1,45dB,0.6595596
uni_v1,45dB,0.5950854
uni_v1,45dB,0.27752584
uni_v1,45dB,0.684895
uni_v1,45dB,0.30846608
uni_v1,45dB,0.5290948
uni_v1,45dB,0.59100884
uni_v1,45dB,0.39064932
uni_v1,45dB,0.43925524
uni_v1,45dB,0.47244132
uni_v1,45dB,0.5218956
uni_v1,45dB,0.279341
uni_v1,45dB,0.30646783
uni_v1,45dB,0.32438138
uni_v1,45dB,0.4247699
uni_v1,45dB,0.6029722
uni_v1,45dB,0.63689506
uni_v1,45dB,0.03597299
uni_v1,45dB,0.3175163
uni_v1,45dB,0.4873687
uni_v1,45dB,0.47910145
uni_v1,45dB,0.4861864
uni_v1,45dB,0.5323783
uni_v1,45dB,0.38861647
uni_v1,45dB,0.4557642
uni_v1,45dB,0.43595004
uni_v1,45dB,0.486793
uni_v1,45dB,0.3638955
uni_v1,45dB,0.419404
uni_v1,45dB,0.30442172
uni_v1,45dB,0.60082066
